Location,Title,Price,Style,Bedrooms,Bathrooms,Size,Air Conditioned  
Guelph, Downtown - 1 bedroom apartment, $1275.00, Apartment, Bedrooms: 1, Bathrooms: 1, 500, No
Guelph, newly renovated 2-3 bedroom apartment downtown guelph, $2895.00, Apartment, Bedrooms: 3, Bathrooms: 2, Limited, No
Guelph, 1 Bedroom Apartment in Guelph - Fully Furnished, $2000.00, Apartment, Bedrooms: 1, Bathrooms: 1, 600, Yes
Guelph, The LOFTS at 2 Quebec - Loft 214 Apartment for Rent, $2800.00, Apartment, Bedrooms: 1, Bathrooms: 1, 1063, Yes
Guelph, The LOFTS at 2 Quebec - Loft 212 Apartment for Rent, $2800.00, Apartment, Bedrooms: 1, Bathrooms: 1, 1098, Yes
Guelph, The LOFTS at 2 Quebec - Loft 211 Apartment for Rent, $2950.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 1, 1117, Yes
Guelph, The LOFTS at 2 Quebec - Loft 209 Apartment for Rent, $2300.00, Apartment, Bedrooms: 1, Bathrooms: 1, 778, Yes
Guelph, The LOFTS at 2 Quebec - Loft 205 Apartment for Rent, $3500.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 2, 1417, Yes
Guelph, The LOFTS at 2 Quebec - Loft 202 Apartment for Rent, $2800.00, Apartment, Bedrooms: 1, Bathrooms: 1, 954, Yes
Guelph, 2 Quebec Street - Beautiful Upscale 1 Bedroom + Den!, $3500.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 2, Not Available, Yes
Guelph, 2 Quebec Street - Beautiful Large Upscale 1 Bedrooms!, $2800.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, Yes
Guelph, 2 Quebec Street - Beautiful Upscale 1 Bedrooms!, $2300.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, Yes
Guelph, STUDIO APARTMENT FOR RENT, $1100.00, Apartment, Bedrooms: Bachelor/Studio, Bathrooms: 1, 600, Yes
Guelph, Avalon on the Parkway: Apartment for rent in Guelph, $2399.00, Apartment, Bedrooms: 2, Bathrooms: 1, 896, No
 2, 950, No
Guelph, 444 Victoria Rd. N - 1 Bedroom Apartment for Rent, $1822.00, Apartment, Bedrooms: 1, Bathrooms: 1, 617, No
Guelph, 2 bed plus den apartment, $2200.00, Apartment, Bedrooms: 2 + Den, Bathrooms: 1, Limited, No
Guelph, *NEW* 1 Bedroom 2 Bedroom 2 Bedroom + Loft Starting at $2500, $2500.00, Apartment, Bedrooms: 2 + Den, Bathrooms: 1.5, Limited, No
Guelph, Spacious 2 Bedroom Apartment in Hespeler!, $1600.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Guelph, Bright Apt in Century Building by the River Downtown, $3400.00, Apartment, Bedrooms: 3, Bathrooms: 1, 1700, No
Guelph, Downtown - 1 bedroom apartment, $1275.00, Apartment, Bedrooms: 1, Bathrooms: 1, 500, No
Guelph, Guelph 2 Bedroom Apartment for Rent:, $2100.00, Apartment, Bedrooms: 2, Bathrooms: 1, 847, No
Guelph, Guelph 1 Bedroom + Den 1 Bathroom Apartment for Rent:, $1955.00, Apartment, Bedrooms: 1, Bathrooms: 1, 560, No
Guelph, Guelph 2 Bedroom Apartment for Rent:, $2140.00, Apartment, Bedrooms: 2, Bathrooms: 1, 724, Yes
Guelph, Guelph 1 Bedroom Apartment for Rent:, $1965.00, Apartment, Bedrooms: 1, Bathrooms: 1, 675, No
Guelph, 1 Bedroom + Den Downtown Guelph - Convenient Location, $1925.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 1, Not Available, No
Guelph, 2 Bedroom Apartment at Regency Court in Guelph, $2225.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Guelph, 2BR basement apt for rent near Downtown Guelph, $1690.00, Apartment, Bedrooms: 2, Bathrooms: 1, Limited, No
Guelph, 3BR Apt for rent near Downtown Guelph, $2480.00, Apartment, Bedrooms: 3, Bathrooms: 1, Limited, No
Guelph, Bright Cozy Two Bedroom Apartment for Rent, $1550.00, Apartment, Bedrooms: 2, Bathrooms: 1, 600, No
Guelph, Brand NEW - Beautiful LEGAL - 2 bed/1 bath lower level apart., $2195.00, Apartment, Bedrooms: 2, Bathrooms: 1, 800, No
Guelph, 1 Bedroom Apartment in Guelph - Near St. George's Park, $1950.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
Guelph, 1 Bedroom Apartment in Guelph Available, $1945.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
Guelph, Looking for an apartment? Try our FREE Rental Consultant Service, Please Contact, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Guelph, 2 Bedroom Apartment in Guelph - All inclusive & Great Location!, $2115.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Guelph, 351 Eramosa Rd. - 2 Bedroom Apartment for Rent, $2420.00, Apartment, Bedrooms: 2, Bathrooms: 1, 889, No
Guelph, Avalon on the Parkway: Apartment for rent in Guelph, $2049.00, Apartment, Bedrooms: 1, Bathrooms: 1, 636, No
Guelph, Apt wanted, $2000.00, Apartment, Bedrooms: 1, Bathrooms: 1, Limited, No
Guelph, All utilities included, $1700.00, Apartment, Bedrooms: 2, Bathrooms: 1, 900, No
Guelph, 900sq.ft. Renovated 1 bed apartment with yard access., $1980.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 1, Limited, No
Guelph, 900sq.ft. Renovated 1 bed apartment with yard access., $1980.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 1, Limited, No
