Location,Title,Price,Style,Bedrooms,Bathrooms,Size,Air Conditioned  
Guelph, Two bedroom basement apartment for rent in south end, $1700.00, Basement, Bedrooms: 2, Bathrooms: 1, 800, No
Guelph, One Bedroom Walkout Apartment for Rent, $1895.00, Apartment, Bedrooms: 1, Bathrooms: 1, Limited, No
Guelph, The Chelsea  - 1 Bedroom Apartment for Rent, $2381.00, Apartment, Bedrooms: 1, Bathrooms: 1, 721, Yes
Guelph, The Chelsea  - 2 Bedroom Apartment for Rent, $2798.00, Apartment, Bedrooms: 2, Bathrooms: 2, 1002, Yes
Guelph, 996 Paisley Rd. - 1 Bedroom Apartment for Rent, $2250.00, Apartment, Bedrooms: 1, Bathrooms: 1, 710, Yes
Guelph, Apartment for lease, $1500.00, Apartment, Bedrooms: 1, Bathrooms: 1, Limited, Yes
Guelph, 444 Victoria Rd. N - 1 Bedroom Apartment for Rent, $1879.00, Apartment, Bedrooms: 1, Bathrooms: 1, 617, No
Guelph, 2 Bedroom Apartment in Guelph - All inclusive & Great Location!, $2115.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Guelph, Fergus 2 Bedroom Basement Apartment For Rent, $2300.00, Basement, Bedrooms: 2, Bathrooms: 1, 800, No
Guelph, 1 bed 1 bath gorgeous unit -  East End Sept 15th or Oct 1st!, $1495.00, Basement, Bedrooms: 1, Bathrooms: 1, 500, No
Guelph, Stunning 2 Bedroom Apartment for Rent Guelph ON, $2300.00, Basement, Bedrooms: 2, Bathrooms: 1, 875, No
Guelph, 1 bed 1 bath - West End Sep 1st - all new paint and flooring!, $1595.00, Basement, Bedrooms: 1, Bathrooms: 1, Limited, No
Guelph, Two-bedroom apartment for rent Sep 1/23, $2200.00, Apartment, Bedrooms: 2, Bathrooms: 1, 950, No
Guelph, One bedroom apartment for rent, $1650.00, House, Bedrooms: 1, Bathrooms: 1, 700, No
Guelph, Two bedroom basement apartment for rent in south end, $1700.00, Basement, Bedrooms: 2, Bathrooms: 1, 800, No
Guelph, 1 Bedroom apt for rent - The Gramercy, $2370.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, Yes
Guelph, Spacious 3 Bedroom 2 Bathroom for Rent near Kortright and Gordon, $2750.00, Duplex/Triplex, Bedrooms: 3, Bathrooms: 2, Limited, No
Guelph, Furnished apartment for rent available immediately, $1650.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 1.5, 1200, Yes
Guelph, 2 Bedroom Apartment for Rent - 27/33 Cardigan Street, $2150.00, Apartment, Bedrooms: 2, Bathrooms: 1, 940, No
Guelph, 1 Bedroom Apartment for Rent - 380/400 Waterloo Avenue, $1975.00, Apartment, Bedrooms: 1, Bathrooms: 1, 885, No
Guelph, Guelph 1 Bedroom + Den 1 Bathroom Apartment for Rent:, $1955.00, Apartment, Bedrooms: 1, Bathrooms: 1, 560, No
Guelph, Joseph's Place - 2 Bed 2 Bath Apartment for Rent, $2300.00, Apartment, Bedrooms: 2, Bathrooms: 2, 950, Yes
Guelph, 2 Bedroom plus Den legal  walkout basement apartment, $2275.00, Basement, Bedrooms: 2 + Den, Bathrooms: 1, 800, No
Guelph, Spacious two bedroom apartment for rent, $1700.00, Apartment, Bedrooms: 2, Bathrooms: 1, 900, No
Guelph, The LOFTS at 2 Quebec - Loft 215 Apartment for Rent, $3500.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 1, 1658, Yes
Guelph, The LOFTS at 2 Quebec - Loft 214 Apartment for Rent, $2800.00, Apartment, Bedrooms: 1, Bathrooms: 1, 1063, Yes
Guelph, The LOFTS at 2 Quebec - Loft 212 Apartment for Rent, $2800.00, Apartment, Bedrooms: 1, Bathrooms: 1, 1098, Yes
Guelph, The LOFTS at 2 Quebec - Loft 211 Apartment for Rent, $2950.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 1, 1117, Yes
Guelph, The LOFTS at 2 Quebec - Loft 209 Apartment for Rent, $2300.00, Apartment, Bedrooms: 1, Bathrooms: 1, 778, Yes
Guelph, The LOFTS at 2 Quebec - Loft 205 Apartment for Rent, $3500.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 2, 1417, Yes
Guelph, The LOFTS at 2 Quebec - Loft 202 Apartment for Rent, $2800.00, Apartment, Bedrooms: 1, Bathrooms: 1, 954, Yes
Guelph, 2 Bedrooms + Den Condo Apartment for Rent in Guelph, $2549.00, Condo, Bedrooms: 2 + Den, Bathrooms: 1.5, 1166, No
Guelph, One Bedroom Walkout Apartment for Rent, $1895.00, Apartment, Bedrooms: 1, Bathrooms: 1, Limited, No
Guelph, 53 & 65 Speedvale Ave. W - 1 Bedroom Apartment for Rent, $2138.00, Apartment, Bedrooms: 1, Bathrooms: 1, 738, No
Guelph, Guelph 2 Bedroom Apartment for Rent:, $2100.00, Apartment, Bedrooms: 2, Bathrooms: 1, 847, No
Guelph, Avalon on the Parkway: Apartment for rent in Guelph, $2425.00, Apartment, Bedrooms: 2, Bathrooms: 1, 847, No
Guelph, Avalon on the Parkway: Apartment for rent in Guelph, $1949.00, Apartment, Bedrooms: 1, Bathrooms: 1, 636, No
Guelph, Bright and spacious 2-bedroom walkout basement apartment, $2000.00, Basement, Bedrooms: 2, Bathrooms: 1, 800, No
Guelph, Guelph 1 Bedroom Apartment for Rent:, $1980.00, Apartment, Bedrooms: 1, Bathrooms: 1, 669, No
Guelph, Apartment for Rent - $1550.00 utilities included, $1550.00, Basement, Bedrooms: 1, Bathrooms: 1, Limited, No
Guelph, Guelph 1 Bedroom Apartment for Rent:, $1915.00, Apartment, Bedrooms: 1, Bathrooms: 1, 700, No
Guelph, Guelph 2 Bedroom Apartment for Rent:, $2140.00, Apartment, Bedrooms: 2, Bathrooms: 1, 724, Yes
Guelph, Two bedroom basement apartment for rent in south end, $1700.00, Basement, Bedrooms: 2, Bathrooms: 1, 800, No
