Location,Title,Price,Style,Bedrooms,Bathrooms,Size,Air Conditioned
Kitchener, Student Rentals for September (All-InclusiveClose to UW WLU), $950.00, Duplex/Triplex, Bedrooms: 5+, Bathrooms: 2, 2500, No
Kitchener, 265 Lawrence Avenue Apartments - 3 Bdrm available at 265 Lawrenc, $2595.00, Apartment, Bedrooms: 3, Bathrooms: 1, 1060, No
Kitchener, New Two Bedroom Basement for Rent, $2000.00, Basement, Bedrooms: 2, Bathrooms: 1, 700, No
Kitchener, Two Bedroom Suite for Rent | Located Near Belmont Village, $1949.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Kitchener, New 2 Bed Suites! Two Months Free* Bell Internet* Flexible Dates, $2455.00, Apartment, Bedrooms: 2, Bathrooms: 2, 767, No
Kitchener, Spacious Walkout Basement Apartment available for Oct 1st. Lease, $2100.00, Basement, Bedrooms: 1, Bathrooms: 1, Limited, No
Kitchener, Beautiful 2 Bedroom Condo, $2595.00, Condo, Bedrooms: 2, Bathrooms: 2, Not Available, No
Kitchener, Brand New 2 Bedroom Suites @ OPHELIA With 2 MONTHS FREE RENT!, $2490.00, Condo, Bedrooms: 2, Bathrooms: 1.5, 795, No
Kitchener, TWO MONTHS FREE & NOW LEASING - 2 Bedroom Suites @ The Woodside, $2340.00, Condo, Bedrooms: 2, Bathrooms: 2, 767, No
Kitchener, $1590/month COZY 1BDRM IN DESIRABLE MOUNT HOPE AREA!, $1590.00, Duplex/Triplex, Bedrooms: 1, Bathrooms: 1, Limited, No
Kitchener, 3 Bedroom 2 Bathroom Steps to Uptown Waterloo!!, $2900.00, Duplex/Triplex, Bedrooms: 3, Bathrooms: 1.5, 1000, No
Kitchener, 1 bedroom 1 bathroom condo next to Victoria park, $1300.00, Condo, Bedrooms: 1, Bathrooms: 1, Limited, No
Kitchener, 1 bedroom available for rent in 2 bedroom basement unit, $800.00, Basement, Bedrooms: 1, Bathrooms: 1, 650, No
Kitchener, Brand New Beautiful & Modern 2 Bdrm Townhome - Kitchener, $2400.00, Townhouse, Bedrooms: 2, Bathrooms: 2.5, 1160, No
Kitchener, 265 Lawrence Avenue Apartments - 3 Bdrm available at 265 Lawrenc, $2595.00, Apartment, Bedrooms: 3, Bathrooms: 1, 1060, No
Kitchener, 265 Lawrence Avenue Apartments - 1 Bdrm available at 265 Lawrenc, $1790.00, Apartment, Bedrooms: 1, Bathrooms: 1, 500, No
Kitchener, Looking for a one bedroom or a bachelor, Please Contact, Apartment, Bedrooms: 1, Bathrooms: 1, 1200, No
Kitchener, Spacious 2 bedroom apartment for rent, $1950.00, Basement, Bedrooms: 2 + Den, Bathrooms: 1, 1000, No
Kitchener, Beautiful 4-Bedroom House | Kitchener | September, $4000.00, House, Bedrooms: 4 + Den, Bathrooms: 2.5, 2700, No
Kitchener, Never lived in 2 Bedroom Suites!, $2470.00, Apartment, Bedrooms: 2, Bathrooms: 2, 880, No
Kitchener, Brand new 1 Bed Open-Concept Layouts, $1895.00, Apartment, Bedrooms: 1, Bathrooms: 1, 550, No
Kitchener, Beautiful 1 Bedroom plus Den Apartment in DTK Central Frederick, $1995.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 1, 800, No
Kitchener, One Bedroom Apartment with One-Million-Dollar Views Free Rent, $1920.00, Apartment, Bedrooms: 1, Bathrooms: 1, 635, No
Kitchener, ACCESSIBLE ONE-BEDROOM UNIT WITH STUNNING VIEWS!, $1985.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
Kitchener, Best Views Of The River And Two Free Months Of Rent, $2395.00, Apartment, Bedrooms: 2, Bathrooms: 2, 865, No
Kitchener, Spectacular 2 Bedroom | Steps to McLennan Park, $2025.00, Apartment, Bedrooms: 2, Bathrooms: 1, 770, No
Kitchener, One Month Free Rent in Downtown Kitchener 2-bedroom 2-bathroom, $2345.00, Apartment, Bedrooms: 2, Bathrooms: 2, 1075, No
Kitchener, Huge New Townhouse For Rent Backs On To A Park, $2395.00, Apartment, Bedrooms: 2, Bathrooms: 1, 950, No
Kitchener, Brand New Townhouse For Rent 2-Bedroom Park Views, $1995.00, Townhouse, Bedrooms: 2, Bathrooms: 1, 660, No
Kitchener, Brand New Townhouse For Rent. One-Bedroom One-Bathroom, $1695.00, Townhouse, Bedrooms: 1, Bathrooms: 1, 550, No
Kitchener, 1-BEDROOM UNIT WITH PARK VIEW!, $1650.00, Apartment, Bedrooms: 1, Bathrooms: 1, 520, No
Kitchener, BRAND NEW APARTMENT IN WATERLOO - ONE MONTH FREE RENT!, $2395.00, Apartment, Bedrooms: 2, Bathrooms: 1, 868, No
Kitchener, ONE MONTH FREE RENT! MIDTOWN WATERLOO!, $1895.00, Apartment, Bedrooms: 1, Bathrooms: 1, 664, No
Kitchener, BRAND NEW MIDTOWN APARTMENT ONE MONTH FREE RENT, $2395.00, Apartment, Bedrooms: 2, Bathrooms: 1, 735, No
Kitchener, 285 Erb St. W - 1 Bedroom Apartment for Rent, $2017.00, Apartment, Bedrooms: 1, Bathrooms: 1, 721, No
Kitchener, 294 Chandler Dr. - 1 Bedroom Apartment for Rent, $1838.00, Apartment, Bedrooms: 1, Bathrooms: 1, 702, No
Kitchener, Highland Square - 1 Bedroom Apartment for Rent, $2030.00, Apartment, Bedrooms: 1, Bathrooms: 1, 845, No
Kitchener, 301 & 341 Traynor Ave. / 551 & 533 Vanier Dr. - 2 Bedroom Apartm, $2084.00, Apartment, Bedrooms: 2, Bathrooms: 1, 866, No
Kitchener, Highland Square - 2 Bedroom Apartment for Rent, $2349.00, Apartment, Bedrooms: 2, Bathrooms: 2, 1142, No
Kitchener, 36 River Rd. E - 3 Bedroom Apartment for Rent, $3099.00, Apartment, Bedrooms: 3, Bathrooms: 1, 1050, No
