Location,Title,Price,Style,Bedrooms,Bathrooms,Size,Air Conditioned  
London, North London 1 Bedroom Luxury New Gourmet Kitchen Bath & Laundry, $1897.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
London, LUXURIOUS 3 BEDROOM WITH FINISHED BASEMENT WITH FULL WASHROOM, $3400.00, House, Bedrooms: 3 + Den, Bathrooms: 4, 1900, No
London, Renovated 1 Bedroom Units close to everything!, $1400.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
London, Downtown London Luxury Unit Prime Location, $1975.00, Duplex/Triplex, Bedrooms: 2, Bathrooms: 1, 860, No
London, Modern 2 Bedroom Apartment in Huron Heights, $1725.00, Apartment, Bedrooms: 2, Bathrooms: 1, 732, No
London, Spacious & Bright Two Bedroom Apartment for Rent North London, $1799.00, Apartment, Bedrooms: 2, Bathrooms: 1, 833, No
London, Two Bedroom Apartment - Steps from Downtown London/Richmond Row, $1749.00, Apartment, Bedrooms: 2, Bathrooms: 1, 841, No
London, Wyndfield Place Apartments - 2 Bdrm available at 724 Fanshawe Pa, $1740.00, Apartment, Bedrooms: 2, Bathrooms: 1, 1060, No
London, Wyndfield Place Apartments - 1 Bdrm available at 724 Fanshawe Pa, $1490.00, Apartment, Bedrooms: 1, Bathrooms: 1, 545, No
London, 3 Beds 2.5 Baths - House FOR RENT, $2875.00, House, Bedrooms: 3, Bathrooms: 2.5, Limited, No
London, 2 bedroom 2 bath - 12 Cartwright, $2299.00, Apartment, Bedrooms: 2, Bathrooms: 2, 962, No
London, Gorgeous 3BD Semi-GarageDrivewayBackyard Deck Close to UWO, $2350.00, Townhouse, Bedrooms: 3, Bathrooms: 1.5, Limited, No
London, #2- 580 WATERLOO ST, $1429.00, Apartment, Bedrooms: 1, Bathrooms: 1, Limited, No
London, 1529 GLENGARRY AVE, $2595.00, House, Bedrooms: 3 + Den, Bathrooms: 2, Limited, No
London, NW London 3 BDRM 2.5 Bath EndUnit Double Car Garage Townhome, $2700.00, Townhouse, Bedrooms: 3 + Den, Bathrooms: 2.5, Limited, No
London, 2 Bedroom basement apartment for rent in London, $1600.00, Basement, Bedrooms: 2, Bathrooms: 1, 1009, Yes
London, London 2 Bedroom 2 Bathroom Apartment for Rent:, $1985.00, Apartment, Bedrooms: 2, Bathrooms: 2, 1073, No
London, London 2 Bedroom 1 Bathroom Apartment for Rent:, $1985.00, Apartment, Bedrooms: 2, Bathrooms: 1, 998, No
London, London 1 Bedroom Apartment for Rent:, $1605.00, Apartment, Bedrooms: 1, Bathrooms: 1, 644, No
London, London 2 Bedroom Apartment for Rent: Not looking to cook tonight, $1970.00, Apartment, Bedrooms: 2, Bathrooms: 1, 760, No
London, London 1 Bedroom Apartment for Rent: Not looking to cook tonight, $1695.00, Apartment, Bedrooms: 1, Bathrooms: 1, 530, No
London, London Bachelor Apartment for Rent:, $1330.00, Apartment, Bedrooms: Bachelor/Studio, Bathrooms: 1, 339, No
London, London 1 Bedroom Apartment for Rent:, $1420.00, Apartment, Bedrooms: 1, Bathrooms: 1, 532, No
London, London 2 Bedroom 1 Bathroom Apartment for Rent: Minutes from th, $1780.00, Apartment, Bedrooms: 2, Bathrooms: 1, 730, No
London, London 2 Bedroom Apartment for Rent: A MUST-SEE FOR MUSTANGS! Co, $1750.00, Apartment, Bedrooms: 2, Bathrooms: 1, 800, No
London, London 1 Bedroom Apartment for Rent: A MUST-SEE FOR MUSTANGS! Co, $1405.00, Apartment, Bedrooms: 1, Bathrooms: 1, 600, No
London, London 2 Bedroom Apartment for Rent: GET IT WHILE YOU CAN! Rare, $1645.00, Apartment, Bedrooms: 2, Bathrooms: 1, 750, No
London, 3000 sq. ft. 2-Story 6 Bedroom Downtown Apartment, $6000.00, Apartment, Bedrooms: 5+, Bathrooms: 3.5, Limited, No
London, 3 Amazing Units for Rent in Downtown London near Victoria Park, $2600.00, House, Bedrooms: 3, Bathrooms: 2, 1500, No
London, Fantastic 3 Bed + 2 Bed Bungalow in North London by Masonville, $1800.00, House, Bedrooms: 5+, Bathrooms: 3, 2800, No
London, RENOVATED 2 BEDROOM APT- AVAILABLE IMMEDIATELY $1700 plus hydro, $1700.00, Apartment, Bedrooms: 2, Bathrooms: 1, 800, No
London, 3+1 Bedroom Amazing Large House in North-east London, $3200.00, House, Bedrooms: 4, Bathrooms: 3.5, 2350, No
London, House for rent, $3000.00, House, Bedrooms: 3 + Den, Bathrooms: 2.5, Limited, No
London, 3 BED 1 BATH BUNGALOW FOR RENT IN LONDON! AVAILABLE IMMEDIATELY, $2500.00, House, Bedrooms: 3, Bathrooms: 1, 1150, No
London, 3 bedroom Basement for Rent, $1900.00, Basement, Bedrooms: 3, Bathrooms: 1, 1500, No
London, 2 Bed/2 Bath Apt.-Downtown London-Avail. Aug.15/Sep.1st. - $1800, $1800.00, Apartment, Bedrooms: 2, Bathrooms: 2, Limited, No
London, LUXURIOUS 3 BEDROOM WITH FINISHED BASEMENT WITH FULL WASHROOM, $3400.00, House, Bedrooms: 3 + Den, Bathrooms: 4, 1900, No
London, 2 Bedroom Apartment for Rent - 1/291/295/9 Grosvenor Street, $2115.00, Apartment, Bedrooms: 2, Bathrooms: 1.5, 1258, No
London, 2 Bedroom Apartment for Rent - 1/291/295/9 Grosvenor Street, $2125.00, Apartment, Bedrooms: 2, Bathrooms: 2, 1262, No
London, 1 Bedroom Apartment for Rent - 1/291/295/9 Grosvenor Street, $1660.00, Apartment, Bedrooms: 1, Bathrooms: 1, 722, No
London, 520-560 Mornington Avenue  - 2 Bedroom Apartment for Rent, $1723.00, Apartment, Bedrooms: 2, Bathrooms: 1, 977, No
London, Talbot Towers, $1615.00, Apartment, Bedrooms: 1, Bathrooms: 1, 655, No
London, Beautiful 3-bedroom 1.5 bath townhome, $2300.00, Townhouse, Bedrooms: 3, Bathrooms: 1.5, 1500, No
