Location,Title,Price,Style,Bedrooms,Bathrooms,Size,Air Conditioned  
Kitchener, Two Months Free Rent* Rogers Internet* Downtown Kitchener!, $2530.00, Apartment, Bedrooms: 2, Bathrooms: 1.5, 870, No
Kitchener, Two Bedroom Suite for Rent | Located Near Belmont Village, $1949.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Kitchener, Immediate - Beautiful 1 Bedroom Apartment for Rent - $1800/month, $1800.00, Apartment, Bedrooms: 1, Bathrooms: 1, 825, No
Kitchener, 2 Bd + Big Lounge New Corner Lot Condo in Kitchener, $2499.00, Condo, Bedrooms: 2 + Den, Bathrooms: 1, 850, No
Kitchener, EIWO Canadian Management Ltd. - 2 BEDROOM UNIT FOR RENT, $1750.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Kitchener, EIWO Canadian Management Ltd. - BACHELOR UNIT FOR RENT, $1250.00, Apartment, Bedrooms: Bachelor/Studio, Bathrooms: 1, Not Available, No
Kitchener, Junior 1 Bedroom Apartment for Rent behind Fairview Mall!, Please Contact, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
Kitchener, ONE BEDROOM APARTMENT AVAILABLE - DOWNTOWN KITCHENER, $1700.00, Apartment, Bedrooms: 1, Bathrooms: 1, 600, No
Kitchener, 109 115 & 123 Westwood Dr. - Bachelor Apartment for Rent, $1623.00, Apartment, Bedrooms: Bachelor/Studio, Bathrooms: 1, 365, No
Kitchener, 109 115 & 123 Westwood Dr. - 1 Bedroom Apartment for Rent, $1818.00, Apartment, Bedrooms: 1, Bathrooms: 1, 468, No
Kitchener, ArtHaus - 1 Bedroom + Den Apartment for Rent, $2256.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 1, 800, No
Kitchener, ArtHaus - 1 Bedroom Apartment for Rent, $2087.00, Apartment, Bedrooms: 1, Bathrooms: 1, 750, No
Kitchener, 10 Highland Cres. - 1 Bedroom Apartment for Rent, $2121.00, Apartment, Bedrooms: 1, Bathrooms: 1, 650, No
Kitchener, 10 Highland Cres. - 2 Bedroom Apartment for Rent, $2414.00, Apartment, Bedrooms: 2, Bathrooms: 1, 850, No
Kitchener, EIWO CANADIAN MANAGEMENT LTD. - 1 BEDROOM UNIT FOR RENT, Please Contact, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
Kitchener, EIWO Canadian Management Ltd. -  Stanley Park Area1, $1725.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
Kitchener, 2 Bedroom Apartment for Rent - 550 Westmount Road W, $2246.00, Apartment, Bedrooms: 2, Bathrooms: 1, 853, No
Kitchener, Luxury 1 bedroom apartment for rent!, $1950.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, Yes
Kitchener, Great 1 Bedroom Apartment for Rent Behind Fairview Mall!, Please Contact, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
Kitchener, 4 BED 3 BATH � MAIN FLOOR AP FOR RENT � 18 GRASSBOURNE AVE KITC, $2945.00, Apartment, Bedrooms: 4, Bathrooms: 2.5, 2200, No
Kitchener, 1 bedroom 1 bath lower level apt, $1550.00, Apartment, Bedrooms: 1, Bathrooms: 1, Limited, No
Kitchener, Great 1 Bedroom Unit for Rent in Kitchener, $1700.00, Apartment, Bedrooms: 1, Bathrooms: 1, Limited, No
Kitchener, 1 Bedroom Apartment for Rent - 550 Westmount Road W, $2083.00, Apartment, Bedrooms: 1, Bathrooms: 1, 496, No
Kitchener, 1 Bed Apartment in Kitchener For Rent, $2000.00, Apartment, Bedrooms: 1, Bathrooms: 1, 723, No
Kitchener, Royal & Wales Apartments  - 2 Bedroom Apartment for Rent, $1599.00, Apartment, Bedrooms: 2, Bathrooms: 1, 522, No
Kitchener, Apartment in Kitchener for Rent, $1950.00, Apartment, Bedrooms: 2, Bathrooms: 1, 600, No
Kitchener, FANTASTIC 2 bedroom apartment for rent behind Fairview Mall!, Please Contact, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Kitchener, 1 BEDROOM APARTMENT TO RENT, $1650.00, Apartment, Bedrooms: 1, Bathrooms: 1, Limited, No
Kitchener, Fantastic 2 bedroom + 2 bathroom apartment to rent in Kitchener, $2730.00, Apartment, Bedrooms: 2, Bathrooms: 2, Not Available, No
Kitchener, City View: Apartment for rent in Kitchener, $1695.00, Apartment, Bedrooms: 1, Bathrooms: 1, 460, No
Kitchener, Room for rent ( students), Please Contact, Apartment, Bedrooms: 2, Bathrooms: 1, 800, No
Kitchener, 565 Greenfield Ave - 2 Bedroom Apartment for Rent, $2300.00, Duplex/Triplex, Bedrooms: 2, Bathrooms: 1, 900, No
Kitchener, Looking to rent, $1400.00, Apartment, Bedrooms: 1, Bathrooms: 1, Limited, No
Kitchener, Two Months Free Rent* Rogers Internet* Downtown Kitchener!, $2530.00, Apartment, Bedrooms: 2, Bathrooms: 1.5, 870, No
Kitchener, Bachelor Apartment for Rent - 6-88 Brybeck Crescent, $1769.00, Apartment, Bedrooms: Bachelor/Studio, Bathrooms: 1, 423, No
Kitchener, 1 bed 1 bath w/underground parking, Please Contact, Condo, Bedrooms: 1, Bathrooms: 1, 631, No
Kitchener, 1 Bed 1 Bath Apartment for Rent Kingsdale Kitchener, $1850.00, Apartment, Bedrooms: 1, Bathrooms: 1, 500, No
Kitchener, 1 bed 1 bath basement suit for rent aug 1st., $1600.00, Basement, Bedrooms: 1, Bathrooms: 1, 12345, No
Kitchener, Beautiful 2 bedroom apartment for rent., $1750.00, Duplex/Triplex, Bedrooms: 1 + Den, Bathrooms: 1, 700, No
Kitchener, Beautiful 2 bedroom apartment for rent., Please Contact, Duplex/Triplex, Bedrooms: 1 + Den, Bathrooms: 1, 700, No
Kitchener, Basement apartment 2bd 1 Bath, $1995.00, Basement, Bedrooms: 2, Bathrooms: 1, 1000, No
Kitchener, Brand New Condo Apartment For Rent, $1850.00, Condo, Bedrooms: 1, Bathrooms: 1, 680, No
London, North London 1 Bedroom Luxury New Gourmet Kitchen Bath & Laundry, $1897.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
London, LUXURIOUS 3 BEDROOM WITH FINISHED BASEMENT WITH FULL WASHROOM, $3400.00, House, Bedrooms: 3 + Den, Bathrooms: 4, 1900, No
London, Renovated 1 Bedroom Units close to everything!, $1400.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
London, Downtown London Luxury Unit Prime Location, $1975.00, Duplex/Triplex, Bedrooms: 2, Bathrooms: 1, 860, No
London, Modern 2 Bedroom Apartment in Huron Heights, $1725.00, Apartment, Bedrooms: 2, Bathrooms: 1, 732, No
London, Spacious & Bright Two Bedroom Apartment for Rent North London, $1799.00, Apartment, Bedrooms: 2, Bathrooms: 1, 833, No
London, Two Bedroom Apartment - Steps from Downtown London/Richmond Row, $1749.00, Apartment, Bedrooms: 2, Bathrooms: 1, 841, No
London, Wyndfield Place Apartments - 2 Bdrm available at 724 Fanshawe Pa, $1740.00, Apartment, Bedrooms: 2, Bathrooms: 1, 1060, No
London, Wyndfield Place Apartments - 1 Bdrm available at 724 Fanshawe Pa, $1490.00, Apartment, Bedrooms: 1, Bathrooms: 1, 545, No
London, 3 Beds 2.5 Baths - House FOR RENT, $2875.00, House, Bedrooms: 3, Bathrooms: 2.5, Limited, No
London, 2 bedroom 2 bath - 12 Cartwright, $2299.00, Apartment, Bedrooms: 2, Bathrooms: 2, 962, No
London, Gorgeous 3BD Semi-GarageDrivewayBackyard Deck Close to UWO, $2350.00, Townhouse, Bedrooms: 3, Bathrooms: 1.5, Limited, No
London, #2- 580 WATERLOO ST, $1429.00, Apartment, Bedrooms: 1, Bathrooms: 1, Limited, No
London, 1529 GLENGARRY AVE, $2595.00, House, Bedrooms: 3 + Den, Bathrooms: 2, Limited, No
London, NW London 3 BDRM 2.5 Bath EndUnit Double Car Garage Townhome, $2700.00, Townhouse, Bedrooms: 3 + Den, Bathrooms: 2.5, Limited, No
London, 2 Bedroom basement apartment for rent in London, $1600.00, Basement, Bedrooms: 2, Bathrooms: 1, 1009, Yes
London, London 2 Bedroom 2 Bathroom Apartment for Rent:, $1985.00, Apartment, Bedrooms: 2, Bathrooms: 2, 1073, No
London, London 2 Bedroom 1 Bathroom Apartment for Rent:, $1985.00, Apartment, Bedrooms: 2, Bathrooms: 1, 998, No
London, London 1 Bedroom Apartment for Rent:, $1605.00, Apartment, Bedrooms: 1, Bathrooms: 1, 644, No
London, London 2 Bedroom Apartment for Rent: Not looking to cook tonight, $1970.00, Apartment, Bedrooms: 2, Bathrooms: 1, 760, No
London, London 1 Bedroom Apartment for Rent: Not looking to cook tonight, $1695.00, Apartment, Bedrooms: 1, Bathrooms: 1, 530, No
London, London Bachelor Apartment for Rent:, $1330.00, Apartment, Bedrooms: Bachelor/Studio, Bathrooms: 1, 339, No
London, London 1 Bedroom Apartment for Rent:, $1420.00, Apartment, Bedrooms: 1, Bathrooms: 1, 532, No
London, London 2 Bedroom 1 Bathroom Apartment for Rent: Minutes from th, $1780.00, Apartment, Bedrooms: 2, Bathrooms: 1, 730, No
London, London 2 Bedroom Apartment for Rent: A MUST-SEE FOR MUSTANGS! Co, $1750.00, Apartment, Bedrooms: 2, Bathrooms: 1, 800, No
London, London 1 Bedroom Apartment for Rent: A MUST-SEE FOR MUSTANGS! Co, $1405.00, Apartment, Bedrooms: 1, Bathrooms: 1, 600, No
