,Location,Title,Price,Style,Bedrooms,Bathrooms,Size(sqft),Air Conditioned  ,Den,Bachelor/Studio
0,Guelph, Two bedroom basement apartment for rent in south end, 1700, Basement, 2, 1, 800, No,No,No
1,Guelph, One Bedroom Walkout Apartment for Rent, 1895, Apartment, 1, 1, Limited, No,No,No
2,Guelph, The Chelsea  - 1 Bedroom Apartment for Rent, 2381, Apartment, 1, 1, 721, Yes,No,No
3,Guelph, The Chelsea  - 2 Bedroom Apartment for Rent, 2798, Apartment, 2, 2, 1002, Yes,No,No
4,Guelph, 996 Paisley Rd. - 1 Bedroom Apartment for Rent, 2250, Apartment, 1, 1, 710, Yes,No,No
5,Guelph, Apartment for lease, 1500, Apartment, 1, 1, Limited, Yes,No,No
6,Guelph, 444 Victoria Rd. N - 1 Bedroom Apartment for Rent, 1879, Apartment, 1, 1, 617, No,No,No
7,Guelph, 2 Bedroom Apartment in Guelph - All inclusive & Great Location!, 2115, Apartment, 2, 1, N/A, No,No,No
8,Guelph, Fergus 2 Bedroom Basement Apartment For Rent, 2300, Basement, 2, 1, 800, No,No,No
9,Guelph, 1 bed 1 bath gorgeous unit -  East End Sept 15th or Oct 1st!, 1495, Basement, 1, 1, 500, No,No,No
10,Guelph, Stunning 2 Bedroom Apartment for Rent Guelph ON, 2300, Basement, 2, 1, 875, No,No,No
11,Guelph, 1 bed 1 bath - West End Sep 1st - all new paint and flooring!, 1595, Basement, 1, 1, Limited, No,No,No
12,Guelph, Two-bedroom apartment for rent Sep 1/23, 2200, Apartment, 2, 1, 950, No,No,No
13,Guelph, One bedroom apartment for rent, 1650, House, 1, 1, 700, No,No,No
14,Guelph, Two bedroom basement apartment for rent in south end, 1700, Basement, 2, 1, 800, No,No,No
15,Guelph, 1 Bedroom apt for rent - The Gramercy, 2370, Apartment, 1, 1, N/A, Yes,No,No
16,Guelph, Spacious 3 Bedroom 2 Bathroom for Rent near Kortright and Gordon, 2750, Duplex/Triplex, 3, 2, Limited, No,No,No
17,Guelph, Furnished apartment for rent available immediately, 1650, Apartment, 1 , 1.5, 1200, Yes,Yes,No
18,Guelph, 2 Bedroom Apartment for Rent - 27/33 Cardigan Street, 2150, Apartment, 2, 1, 940, No,No,No
19,Guelph, 1 Bedroom Apartment for Rent - 380/400 Waterloo Avenue, 1975, Apartment, 1, 1, 885, No,No,No
20,Guelph, Guelph 1 Bedroom + Den 1 Bathroom Apartment for Rent:, 1955, Apartment, 1, 1, 560, No,No,No
21,Guelph, Joseph's Place - 2 Bed 2 Bath Apartment for Rent, 2300, Apartment, 2, 2, 950, Yes,No,No
22,Guelph, 2 Bedroom plus Den legal  walkout basement apartment, 2275, Basement, 2 , 1, 800, No,Yes,No
23,Guelph, Spacious two bedroom apartment for rent, 1700, Apartment, 2, 1, 900, No,No,No
24,Guelph, The LOFTS at 2 Quebec - Loft 215 Apartment for Rent, 3500, Apartment, 1 , 1, 1658, Yes,Yes,No
25,Guelph, The LOFTS at 2 Quebec - Loft 214 Apartment for Rent, 2800, Apartment, 1, 1, 1063, Yes,No,No
26,Guelph, The LOFTS at 2 Quebec - Loft 212 Apartment for Rent, 2800, Apartment, 1, 1, 1098, Yes,No,No
27,Guelph, The LOFTS at 2 Quebec - Loft 211 Apartment for Rent, 2950, Apartment, 1 , 1, 1117, Yes,Yes,No
