Location,Title,Price,Style,Bedrooms,Bathrooms,Size,Air Conditioned  
Location,Title,Price,Style,Bedrooms,Bathrooms,Size,Air Conditioned  
London, Student Living- 3 Bedroom Apartments in Downtown London, $2612.00, Apartment, Bedrooms: 3, Bathrooms: 2, Not Available, No
London, 3-Bedroom fully furnished house for rent, $2495.00, House, Bedrooms: 3 + Den, Bathrooms: 1, 1600, Yes
London, 2BR+ Den Executive Sunningdale Condo, $2950.00, Condo, Bedrooms: 2 + Den, Bathrooms: 2, Limited, No
London, Quiet Family Home in Old South/Wortley Village, $2575.00, House, Bedrooms: 3, Bathrooms: 1, 1500, No
London, Beautiful 4BR + 2.5Bath Townhouse in North East London!, $2500.00, Townhouse, Bedrooms: 4, Bathrooms: 2.5, Limited, No
London, Azure Jr Penthouse 2 Bed 2 Bath + Den, $3850.00, Apartment, Bedrooms: 2 + Den, Bathrooms: 2, 1820, No
London, Beautiful Bunglow for Rent in a Great Neighbourhood in London, $2500.00, House, Bedrooms: 3 + Den, Bathrooms: 2, Limited, No
London, Riverside 1 Bedroom $1285, $1285.00, Apartment, Bedrooms: 1, Bathrooms: 1, 620, No
London, 319 WESTMINSTER AVE 2 BED 1 BATH 1630/MTH RENOVATED AUG 15, $1630.00, Apartment, Bedrooms: 2, Bathrooms: 1, 850, No
London, 2 BED 1 BATH BASEMENT APT  AT 298 FAIRVIEW AVE  1470/MTH  Sept 1, $1470.00, Apartment, Bedrooms: 2, Bathrooms: 1, 800, No
London, 3  BED 3  BATH - 3395/MTH AT 180 MILL DOWNTOWN LONDON SEPT 1, $3395.00, Apartment, Bedrooms: 3, Bathrooms: 3, 1500, No
London, Student Living- 2 Bedroom Apartments in Downtown London, $2066.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
London, Student Living- 3 Bedroom Apartments in Downtown London, $2612.00, Apartment, Bedrooms: 3, Bathrooms: 2, Not Available, No
London, Student Living- 1 Bedroom Apartments in Downtown London, $1849.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
