Title, Price, Style, Bedrooms, Bathrooms, Size, Air Conditioned 
Newly Renovated - One Bedroom Apartment in Kitchener for Rent, $1775.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
265 Lawrence Avenue Apartments - 1 Bdrm available at 265 Lawrenc, $1790.00, Apartment, Bedrooms: 1, Bathrooms: 1, 500, No
Immediate - Beautiful 1 Bedroom Apartment for Rent - $1800/month, $1800.00, Apartment, Bedrooms: 1, Bathrooms: 1, 825, No
Two Months Free Rent* Rogers Internet* Downtown Kitchener!, $2530.00, Apartment, Bedrooms: 2, Bathrooms: 1.5, 870, No
265 Lawrence Avenue Apartments - 3 Bdrm available at 265 Lawrenc, $2735.00, Apartment, Bedrooms: 3, Bathrooms: 1, 1060, No
Immediate - Beautiful 1 Bedroom Apartment for Rent - $1800/month, $1800.00, Apartment, Bedrooms: 1, Bathrooms: 1, 825, No
607- 611 Heritage Dr. - 1 Bedroom Apartment for Rent, $1866.00, Apartment, Bedrooms: 1, Bathrooms: 1, 665, No
607- 611 Heritage Dr. - 2 Bedroom Apartment for Rent, $2115.00, Apartment, Bedrooms: 2, Bathrooms: 1, 803, No
470 Wellington St. N - 2 Bedroom Apartment for Rent, $2217.00, Apartment, Bedrooms: 2, Bathrooms: 1, 931, No
Basement available for rent-Fairway mall area Kitchener, $2200.00, Basement, Bedrooms: 3, Bathrooms: 1, 1200, No
Wanted:
                            Looking for a house on rent @Kitchener, Please Contact, Apartment, Bedrooms: Bachelor/Studio, Bathrooms: 1, 200, No
Kitchener Apartment for Rent- Available Sept 15, $1675.00, Apartment, Bedrooms: 1 + Den, Bathrooms: 1, 900, No
Newly Renovated - One Bedroom Apartment in Kitchener for Rent, $1775.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
Two Bedroom Suite for Rent | Located Near Belmont Village, $1949.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Basement Apartment for Rent in KW, Please Contact, House, Bedrooms: 1 + Den, Bathrooms: 1, 670, Yes
Professionally Managed Two Bedroom Apartment in Kitchener, $1850.00, Apartment, Bedrooms: 2, Bathrooms: 1, 750, No
Duplex apartment for rent, Please Contact, Duplex/Triplex, Bedrooms: 1, Bathrooms: 1.5, Limited, No
City View: Apartment for rent in Kitchener, $1695.00, Apartment, Bedrooms: 1, Bathrooms: 1, 490, No
One-Bedroom Apt.- Aug 15th – All Incl.- Stanley Park Kitchener, $1395.00, Apartment, Bedrooms: 1, Bathrooms: 1, 700, No
2 BED | 2 BATH | 1080 SQF Apartment for Rent, $2399.00, Apartment, Bedrooms: 2, Bathrooms: 2, 1080, No
1 Bedroom Loft for rent in Heart of Downtown Kitchener, $1900.00, Apartment, Bedrooms: 1, Bathrooms: 1, 800, No
One Bedroom near Union and Lancaster, $1600.00, Apartment, Bedrooms: 1, Bathrooms: 1, 750, No
Beautiful 1 bedroom apartment for rent in Kitchener!, $2025.00, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, Yes
Wanted:
                            Room for rent in Waterloo/Kitchener, $700.00, Apartment, Bedrooms: 1, Bathrooms: 1, 100, Yes
194 Heiman: Apartment for rent in Southdale Kitchener, $1749.00, Apartment, Bedrooms: 1, Bathrooms: 1, 587, No
Brand New Two Bedroom Apartment For Rent, $1995.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Recently Renovated Bright Modern Two-Bedroom Apartment for Rent!, $1595.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
ArtHaus - 2 Bedroom Apartment for Rent, $2492.00, Apartment, Bedrooms: 2, Bathrooms: 1, 950, No
194 Heiman: Apartment for rent in Southdale Kitchener, $1899.00, Apartment, Bedrooms: 2, Bathrooms: 1, 700, No
470 Wellington St. N - Bachelor Apartment for Rent, $1959.00, Apartment, Bedrooms: Bachelor/Studio, Bathrooms: 1, 541, No
9ft high basement apartment with heated floors large one bedroom, $1800.00, Duplex/Triplex, Bedrooms: 1 + Den, Bathrooms: 1, 750, No
FANTASTIC 2 BDRM APARTMENT MINUTES TO DOWNTOWN KITCHENER!, Please Contact, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
Sublet Studio or rent takeover at 80 Mooregate Crescent, $1665.00, Apartment, Bedrooms: Bachelor/Studio, Bathrooms: 1, 400, No
Large One Bedroom Apt near Rockway Golf Course – Newly Renovated, $1725.00, Apartment, Bedrooms: 1, Bathrooms: 1, 650, No
PREMIUM 1 BDRM APARTMENT FOR RENT MINUTES TO DOWNTOWN KITCHENER!, Please Contact, Apartment, Bedrooms: 1, Bathrooms: 1, Not Available, No
One Month Free Rent in Downtown Kitchener 2-bedroom 2-bathroom, $2345.00, Apartment, Bedrooms: 2, Bathrooms: 2, 1075, No
2 Bd + Big Lounge New Corner Lot Condo in Kitchener, $2499.00, Condo, Bedrooms: 2 + Den, Bathrooms: 1, 850, No
1 Bedroom Condo-Available Now-Garment St-Downtown Kitchener, $2200.00, Condo, Bedrooms: 1, Bathrooms: 1, 700, No
Lancaster/ Union One Bedroom, $1600.00, Apartment, Bedrooms: 1, Bathrooms: 1, 750, No
EIWO Canadian Management Ltd. - 2 BEDROOM UNIT FOR RENT, $1750.00, Apartment, Bedrooms: 2, Bathrooms: 1, Not Available, No
